workload,protocol,threads,hotset_prob,txn_type,latency_us
1,occ,4,0.700,transfer,33.250
1,occ,4,0.700,transfer,57.375
1,occ,4,0.700,transfer,64.917
1,occ,4,0.700,transfer,62.416
1,occ,4,0.700,transfer,53.584
1,occ,4,0.700,transfer,50.167
1,occ,4,0.700,transfer,49.250
1,occ,4,0.700,transfer,49.708
1,occ,4,0.700,transfer,50.000
1,occ,4,0.700,transfer,49.708
1,occ,4,0.700,transfer,47.375
1,occ,4,0.700,transfer,12.584
1,occ,4,0.700,transfer,45.750
1,occ,4,0.700,transfer,15.959
1,occ,4,0.700,transfer,8.875
1,occ,4,0.700,transfer,8.125
1,occ,4,0.700,transfer,8.750
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,7.667
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.834
1,occ,4,0.700,transfer,7.584
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,10.709
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,6.916
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,10.042
1,occ,4,0.700,transfer,8.500
1,occ,4,0.700,transfer,7.166
1,occ,4,0.700,transfer,6.791
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,7.084
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,6.958
1,occ,4,0.700,transfer,6.958
1,occ,4,0.700,transfer,12.083
1,occ,4,0.700,transfer,16.625
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,6.875
1,occ,4,0.700,transfer,11.417
1,occ,4,0.700,transfer,8.166
1,occ,4,0.700,transfer,8.917
1,occ,4,0.700,transfer,14.625
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,6.792
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,409.666
1,occ,4,0.700,transfer,10.250
1,occ,4,0.700,transfer,610.917
1,occ,4,0.700,transfer,14.250
1,occ,4,0.700,transfer,506.333
1,occ,4,0.700,transfer,26.666
1,occ,4,0.700,transfer,31.292
1,occ,4,0.700,transfer,27.625
1,occ,4,0.700,transfer,23.041
1,occ,4,0.700,transfer,23.125
1,occ,4,0.700,transfer,23.708
1,occ,4,0.700,transfer,21.000
1,occ,4,0.700,transfer,8.583
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,7.667
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.041
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,6.791
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,8.833
1,occ,4,0.700,transfer,7.209
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,37.333
1,occ,4,0.700,transfer,373.042
1,occ,4,0.700,transfer,22.291
1,occ,4,0.700,transfer,23.042
1,occ,4,0.700,transfer,22.875
1,occ,4,0.700,transfer,19.958
1,occ,4,0.700,transfer,25.000
1,occ,4,0.700,transfer,30.167
1,occ,4,0.700,transfer,9.958
1,occ,4,0.700,transfer,37.750
1,occ,4,0.700,transfer,23.000
1,occ,4,0.700,transfer,23.750
1,occ,4,0.700,transfer,27.708
1,occ,4,0.700,transfer,28.667
1,occ,4,0.700,transfer,26.375
1,occ,4,0.700,transfer,25.000
1,occ,4,0.700,transfer,536.708
1,occ,4,0.700,transfer,37.875
1,occ,4,0.700,transfer,38.875
1,occ,4,0.700,transfer,35.000
1,occ,4,0.700,transfer,38.833
1,occ,4,0.700,transfer,29.000
1,occ,4,0.700,transfer,16.125
1,occ,4,0.700,transfer,523.708
1,occ,4,0.700,transfer,420.666
1,occ,4,0.700,transfer,9.542
1,occ,4,0.700,transfer,538.583
1,occ,4,0.700,transfer,12.125
1,occ,4,0.700,transfer,9.792
1,occ,4,0.700,transfer,9.375
1,occ,4,0.700,transfer,8.875
1,occ,4,0.700,transfer,7.959
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,8.541
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,8.166
1,occ,4,0.700,transfer,7.958
1,occ,4,0.700,transfer,13.208
1,occ,4,0.700,transfer,9.208
1,occ,4,0.700,transfer,20.125
1,occ,4,0.700,transfer,8.625
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,8.875
1,occ,4,0.700,transfer,7.584
1,occ,4,0.700,transfer,7.459
1,occ,4,0.700,transfer,7.833
1,occ,4,0.700,transfer,8.958
1,occ,4,0.700,transfer,7.959
1,occ,4,0.700,transfer,8.125
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,8.167
1,occ,4,0.700,transfer,8.625
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,8.208
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,8.083
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,7.416
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,7.917
1,occ,4,0.700,transfer,8.125
1,occ,4,0.700,transfer,8.291
1,occ,4,0.700,transfer,7.584
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,8.292
1,occ,4,0.700,transfer,7.709
1,occ,4,0.700,transfer,8.250
1,occ,4,0.700,transfer,6.917
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,10.084
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,11.125
1,occ,4,0.700,transfer,8.500
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.833
1,occ,4,0.700,transfer,9.958
1,occ,4,0.700,transfer,931.375
1,occ,4,0.700,transfer,985.750
1,occ,4,0.700,transfer,23.875
1,occ,4,0.700,transfer,10.791
1,occ,4,0.700,transfer,33.541
1,occ,4,0.700,transfer,11.583
1,occ,4,0.700,transfer,35.708
1,occ,4,0.700,transfer,23.625
1,occ,4,0.700,transfer,21.375
1,occ,4,0.700,transfer,21.458
1,occ,4,0.700,transfer,62.000
1,occ,4,0.700,transfer,61.709
1,occ,4,0.700,transfer,9.208
1,occ,4,0.700,transfer,11.708
1,occ,4,0.700,transfer,43.459
1,occ,4,0.700,transfer,8.625
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,7.208
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,10.583
1,occ,4,0.700,transfer,10.250
1,occ,4,0.700,transfer,11.875
1,occ,4,0.700,transfer,10.834
1,occ,4,0.700,transfer,6.750
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,6.958
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,6.709
1,occ,4,0.700,transfer,7.334
1,occ,4,0.700,transfer,6.792
1,occ,4,0.700,transfer,11.667
1,occ,4,0.700,transfer,7.209
1,occ,4,0.700,transfer,7.083
1,occ,4,0.700,transfer,7.209
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.166
1,occ,4,0.700,transfer,6.917
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,8.292
1,occ,4,0.700,transfer,8.209
1,occ,4,0.700,transfer,7.958
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,6.708
1,occ,4,0.700,transfer,8.917
1,occ,4,0.700,transfer,10.041
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,6.959
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,6.750
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,565.250
1,occ,4,0.700,transfer,29.375
1,occ,4,0.700,transfer,22.708
1,occ,4,0.700,transfer,22.875
1,occ,4,0.700,transfer,8.625
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,6.583
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,6.875
1,occ,4,0.700,transfer,7.208
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,6.625
1,occ,4,0.700,transfer,6.583
1,occ,4,0.700,transfer,9.708
1,occ,4,0.700,transfer,9.333
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.209
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,14.791
1,occ,4,0.700,transfer,8.208
1,occ,4,0.700,transfer,7.667
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,6.958
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,6.709
1,occ,4,0.700,transfer,7.917
1,occ,4,0.700,transfer,6.791
1,occ,4,0.700,transfer,6.917
1,occ,4,0.700,transfer,6.792
1,occ,4,0.700,transfer,7.166
1,occ,4,0.700,transfer,6.833
1,occ,4,0.700,transfer,7.166
1,occ,4,0.700,transfer,6.792
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.083
1,occ,4,0.700,transfer,7.291
1,occ,4,0.700,transfer,6.708
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,8.542
1,occ,4,0.700,transfer,6.959
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.084
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,401.333
1,occ,4,0.700,transfer,23.250
1,occ,4,0.700,transfer,20.875
1,occ,4,0.700,transfer,21.292
1,occ,4,0.700,transfer,24.792
1,occ,4,0.700,transfer,9.917
1,occ,4,0.700,transfer,9.125
1,occ,4,0.700,transfer,7.959
1,occ,4,0.700,transfer,8.042
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,7.584
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.833
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.834
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,6.708
1,occ,4,0.700,transfer,6.791
1,occ,4,0.700,transfer,7.166
1,occ,4,0.700,transfer,6.917
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,6.833
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,8.500
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.209
1,occ,4,0.700,transfer,8.125
1,occ,4,0.700,transfer,7.667
1,occ,4,0.700,transfer,7.709
1,occ,4,0.700,transfer,8.792
1,occ,4,0.700,transfer,1137.417
1,occ,4,0.700,transfer,13.083
1,occ,4,0.700,transfer,8.209
1,occ,4,0.700,transfer,8.333
1,occ,4,0.700,transfer,9.208
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.083
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.041
1,occ,4,0.700,transfer,410.375
1,occ,4,0.700,transfer,19.500
1,occ,4,0.700,transfer,19.792
1,occ,4,0.700,transfer,20.042
1,occ,4,0.700,transfer,19.875
1,occ,4,0.700,transfer,8.708
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,6.916
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,9.084
1,occ,4,0.700,transfer,6.875
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,6.708
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.208
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,6.750
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,6.833
1,occ,4,0.700,transfer,8.458
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,10.459
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,7.041
1,occ,4,0.700,transfer,9.375
1,occ,4,0.700,transfer,385.459
1,occ,4,0.700,transfer,8.166
1,occ,4,0.700,transfer,8.542
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,9.375
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,7.917
1,occ,4,0.700,transfer,8.375
1,occ,4,0.700,transfer,11.500
1,occ,4,0.700,transfer,7.958
1,occ,4,0.700,transfer,9.334
1,occ,4,0.700,transfer,10.708
1,occ,4,0.700,transfer,13.375
1,occ,4,0.700,transfer,12.542
1,occ,4,0.700,transfer,9.583
1,occ,4,0.700,transfer,8.291
1,occ,4,0.700,transfer,8.375
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,8.209
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.625
